<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDCNY,D,20220801,000000,6.7433000,6.7739000,6.7433000,6.7674000,2344
USDCNY,D,20220802,000000,6.7674000,6.7824000,6.7463000,6.7500000,2448
USDCNY,D,20220803,000000,6.7591000,6.7591000,6.7451000,6.7565000,1703
USDCNY,D,20220804,000000,6.7501000,6.7585000,6.7460000,6.7492000,2123
USDCNY,D,20220805,000000,6.7485000,6.7611000,6.7403000,6.7607000,1877
USDCNY,D,20220807,000000,6.7607000,6.7618000,6.7607000,6.7607000,14
USDCNY,D,20220808,000000,6.7607000,6.7647000,6.7505000,6.7505000,1945
USDCNY,D,20220809,000000,6.7505000,6.7581000,6.7505000,6.7525000,2115
USDCNY,D,20220810,000000,6.7520000,6.7599000,6.7220000,6.7230000,1963
USDCNY,D,20220811,000000,6.7308000,6.7447000,6.7308000,6.7445000,2492
USDCNY,D,20220812,000000,6.7445000,6.7464000,6.7245000,6.7425000,2969
USDCNY,D,20220814,000000,6.7425000,6.7427000,6.7425000,6.7427000,20
USDCNY,D,20220815,000000,6.7487000,6.7749000,6.7487000,6.7715000,2338
USDCNY,D,20220816,000000,6.7885000,6.7971000,6.7820000,6.7882000,2282
USDCNY,D,20220817,000000,6.7875000,6.7875000,6.7683000,6.7805000,2418
USDCNY,D,20220818,000000,6.7745000,6.7960000,6.7745000,6.7860000,2289
USDCNY,D,20220819,000000,6.7855000,6.8182000,6.7855000,6.8164000,2315
USDCNY,D,20220821,000000,6.8164000,6.8166000,6.8164000,6.8164000,17
USDCNY,D,20220822,000000,6.8250000,6.8500000,6.8207000,6.8485000,2021
USDCNY,D,20220823,000000,6.8476000,6.8659000,6.8291000,6.8336000,2084
USDCNY,D,20220824,000000,6.8429000,6.8689000,6.8420000,6.8581000,2248
USDCNY,D,20220825,000000,6.8478000,6.8568000,6.8420000,6.8477000,2786
USDCNY,D,20220826,000000,6.8460000,6.8721000,6.8460000,6.8715000,1867
USDCNY,D,20220828,000000,6.8715000,6.8717000,6.8715000,6.8715000,12
USDCNY,D,20220829,000000,6.8960000,6.9220000,6.8960000,6.9067000,2065
USDCNY,D,20220830,000000,6.9060000,6.9211000,6.8969000,6.9081000,2222
USDCNY,D,20220831,000000,6.9090000,6.9150000,6.8865000,6.8890000,2067
USDCNY,D,20220901,000000,6.9050000,6.9079000,6.8921000,6.9069000,2018
USDCNY,D,20220902,000000,6.9050000,6.9090000,6.8985000,6.8985000,1764
USDCNY,D,20220904,000000,6.8985000,6.8999000,6.8985000,6.8999000,3
USDCNY,D,20220905,000000,6.8985000,6.9430000,6.8985000,6.9340000,2616
USDCNY,D,20220906,000000,6.9339000,6.9645000,6.9296000,6.9544000,2868
USDCNY,D,20220907,000000,6.9532000,6.9799000,6.9532000,6.9661000,2864
USDCNY,D,20220908,000000,6.9550000,6.9690000,6.9476000,6.9562000,2996
USDCNY,D,20220909,000000,6.9461000,6.9510000,6.9165000,6.9240000,2540
USDCNY,D,20220911,000000,6.9240000,6.9264000,6.9240000,6.9240000,7
USDCNY,D,20220912,000000,6.9240000,6.9240000,6.9240000,6.9240000,1071
USDCNY,D,20220913,000000,6.9150000,6.9322000,6.9150000,6.9245000,2079
USDCNY,D,20220914,000000,6.9684000,6.9727000,6.9565000,6.9620000,2262
USDCNY,D,20220915,000000,6.9616000,6.9946000,6.9604000,6.9944000,2648
USDCNY,D,20220916,000000,6.9934000,7.0250000,6.9799000,6.9799000,2692
USDCNY,D,20220918,000000,6.9799000,6.9799000,6.9799000,6.9799000,24
USDCNY,D,20220919,000000,6.9799000,7.0200000,6.9799000,7.0050000,2858
USDCNY,D,20220920,000000,7.0050000,7.0208000,7.0041000,7.0176000,2316
USDCNY,D,20220921,000000,7.0252000,7.0541000,7.0176000,7.0489000,2699
USDCNY,D,20220922,000000,7.0479000,7.0953000,7.0479000,7.0780000,3308
USDCNY,D,20220923,000000,7.0772000,7.1296000,7.0770000,7.1266000,2078
USDCNY,D,20220925,000000,7.1266000,7.1283000,7.1266000,7.1266000,13
USDCNY,D,20220926,000000,7.1399000,7.1680000,7.1311000,7.1313000,2565
USDCNY,D,20220927,000000,7.1573000,7.1771000,7.1459000,7.1760000,3082
USDCNY,D,20220928,000000,7.1760000,7.2502000,7.1760000,7.1990000,2515
USDCNY,D,20220929,000000,7.1990000,7.2108000,7.1196000,7.1224000,3150
USDCNY,D,20220930,000000,7.1030000,7.1340000,7.0810000,7.1135000,4193
USDCNY,D,20221002,000000,7.1135000,7.1159000,7.1135000,7.1148000,11
USDCNY,D,20221003,000000,7.1135000,7.1148000,7.1135000,7.1135000,1064
USDCNY,D,20221004,000000,7.1135000,7.1150000,7.1135000,7.1148000,1098
USDCNY,D,20221005,000000,7.1135000,7.1148000,7.1135000,7.1148000,1080
USDCNY,D,20221006,000000,7.1135000,7.1148000,7.1107000,7.1148000,1076
USDCNY,D,20221007,000000,7.1135000,7.1135000,7.1135000,7.1135000,1077
USDCNY,D,20221009,000000,7.1135000,7.1159000,7.1135000,7.1148000,8
USDCNY,D,20221010,000000,7.1096000,7.1554000,7.1075000,7.1554000,2187
USDCNY,D,20221011,000000,7.1533000,7.1939000,7.1395000,7.1663000,2647
USDCNY,D,20221012,000000,7.1680000,7.1906000,7.1552000,7.1720000,1734
USDCNY,D,20221013,000000,7.1638000,7.2220000,7.1638000,7.1700000,3102
USDCNY,D,20221014,000000,7.1746000,7.1995000,7.1591000,7.1900000,3060
USDCNY,D,20221016,000000,7.1895000,7.1895000,7.1895000,7.1895000,4
USDCNY,D,20221017,000000,7.1802000,7.2052000,7.1785000,7.1946000,2107
USDCNY,D,20221018,000000,7.1946000,7.2002000,7.1874000,7.2001000,2214
USDCNY,D,20221019,000000,7.2010000,7.2298000,7.1975000,7.2280000,2344
USDCNY,D,20221020,000000,7.2429000,7.2433000,7.2109000,7.2129000,2028
USDCNY,D,20221021,000000,7.2129000,7.2482000,7.2129000,7.2399000,2456
USDCNY,D,20221024,000000,7.2399000,7.2629000,7.2399000,7.2629000,1076
USDCNY,D,20221025,000000,7.2930000,7.3090000,7.2688000,7.2688000,1688
USDCNY,D,20221026,000000,7.2688000,7.2995000,7.1644000,7.1710000,1419
USDCNY,D,20221027,000000,7.1710000,7.2366000,7.1604000,7.2239000,2432
USDCNY,D,20221028,000000,7.2239000,7.2499000,7.2168000,7.2499000,1795
USDCNY,D,20221030,000000,7.2499000,7.2499000,7.2499000,7.2499000,1
USDCNY,D,20221031,000000,7.2499000,7.3031000,7.2499000,7.3015000,1645
