<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDIDR,D,20221016,000000,15385.0000000,15425.0000000,15385.0000000,15425.0000000,9
USDIDR,D,20221017,000000,15470.0000000,15493.0000000,15385.0000000,15485.0000000,99
USDIDR,D,20221018,000000,15475.0000000,15485.0000000,15445.0000000,15465.0000000,121
USDIDR,D,20221019,000000,15465.0000000,15501.0000000,15460.0000000,15495.0000000,99
USDIDR,D,20221020,000000,15565.0000000,15584.0000000,15488.0000000,15570.0000000,87
USDIDR,D,20221021,000000,15570.0000000,15633.0000000,15570.0000000,15630.0000000,149
USDIDR,D,20221024,000000,15577.0000000,15585.0000000,15577.0000000,15585.0000000,51
USDIDR,D,20221025,000000,15580.0000000,15621.0000000,15580.0000000,15620.0000000,114
USDIDR,D,20221026,000000,15612.0000000,15620.0000000,15550.0000000,15569.0000000,187
USDIDR,D,20221027,000000,15593.0000000,15593.0000000,15510.0000000,15565.0000000,151
USDIDR,D,20221028,000000,15570.0000000,15570.0000000,15517.0000000,15548.0000000,87
USDIDR,D,20221030,000000,15540.0000000,15548.0000000,15540.0000000,15548.0000000,2
USDIDR,D,20221031,000000,15540.0000000,15610.0000000,15540.0000000,15595.0000000,146
